Altium Designer Pick and Place Locations
D:\Personal-Git\Digital-Azan\Design Files\Project Outputs for Digital_Azan_Clock\Pick Place for Clock-v1.0.csv

========================================================================================================================
File Design Information:

Date:       25/03/24
Time:       20:12
Revision:   e42172dd3c29307cc8ba636a43149e094a4be6cb
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"FB1","100MHz","TopLayer","3.1496mm","9.3472mm","0","3.1496mm","9.3472mm","1.7896mm","9.3472mm"
"U6","LIS2DH12TR","TopLayer","41.1922mm","32.9697mm","0","41.1922mm","32.9697mm","40.4272mm","33.7197mm"
"U5","ATGM336H-5N31","TopLayer","70.8006mm","58.7259mm","180","70.8006mm","58.7259mm","75.6121mm","54.3259mm"
"U4","TAS5720MRSMR","TopLayer","17.3386mm","55.5702mm","90","17.3386mm","55.5702mm","15.9386mm","53.5702mm"
"U3","ESP32-S3-WROOM-1-N16R8","TopLayer","42.5400mm","10.2314mm","180","42.5400mm","10.2314mm","51.2900mm","1.3514mm"
"U2","AP1509-33SG-13","TopLayer","11.0999mm","16.5776mm","180","11.0999mm","16.5776mm","13.7999mm","14.6726mm"
"U1","TPS565201DDCR","TopLayer","17.8410mm","37.6442mm","270","17.8410mm","37.6442mm","18.7910mm","38.9942mm"
"SW5","RED","TopLayer","37.6183mm","61.4092mm","180","37.6183mm","61.4092mm","39.8683mm","62.6842mm"
"SW4","RED","TopLayer","47.2977mm","61.4042mm","180","47.2977mm","61.4042mm","49.5477mm","62.6792mm"
"SW3","B3U-1000P","TopLayer","26.2536mm","1.4784mm","180","26.2536mm","1.4784mm","27.9536mm","1.4784mm"
"SW2","B3U-1000P","TopLayer","58.8264mm","1.4784mm","0","58.8264mm","1.4784mm","57.1264mm","1.4784mm"
"SW1","","TopLayer","6.3500mm","40.3404mm","90","6.3500mm","40.3404mm","10.9500mm","35.5404mm"
"R31","1M","TopLayer","71.3181mm","5.1054mm","0","71.3181mm","5.1054mm","70.8482mm","5.1054mm"
"R30","10K","TopLayer","38.8520mm","20.9094mm","180","38.8520mm","20.9094mm","39.6140mm","20.9094mm"
"R29","10K","TopLayer","41.3512mm","39.3410mm","180","41.3512mm","39.3410mm","42.1132mm","39.3410mm"
"R28","3.3K","TopLayer","38.7604mm","39.9972mm","90","38.7604mm","39.9972mm","38.7604mm","39.2352mm"
"R27","","TopLayer","83.6175mm","49.5300mm","180","83.6175mm","49.5300mm","84.0874mm","49.5300mm"
"R26","10K","TopLayer","43.1165mm","46.7106mm","90","43.1165mm","46.7106mm","43.1165mm","45.9486mm"
"R25","10K","TopLayer","41.7322mm","46.7106mm","90","41.7322mm","46.7106mm","41.7322mm","45.9486mm"
"R24","10K","TopLayer","40.3606mm","46.7106mm","90","40.3606mm","46.7106mm","40.3606mm","45.9486mm"
"R23","10K","TopLayer","38.1177mm","33.2197mm","180","38.1177mm","33.2197mm","38.8797mm","33.2197mm"
"R22","2.4k","TopLayer","21.2217mm","52.2306mm","180","21.2217mm","52.2306mm","21.6916mm","52.2306mm"
"R21","2.4k","TopLayer","21.2217mm","50.2240mm","180","21.2217mm","50.2240mm","21.6916mm","50.2240mm"
"R20","200R","TopLayer","1.3829mm","49.5300mm","180","1.3829mm","49.5300mm","1.8528mm","49.5300mm"
"R19","10K","TopLayer","15.9386mm","50.3002mm","90","15.9386mm","50.3002mm","15.9386mm","49.5382mm"
"R18","10K","TopLayer","37.6183mm","56.2326mm","180","37.6183mm","56.2326mm","38.3803mm","56.2326mm"
"R17","10K","TopLayer","47.2977mm","56.2276mm","180","47.2977mm","56.2276mm","48.0597mm","56.2276mm"
"R16","10K","TopLayer","36.0580mm","20.9094mm","0","36.0580mm","20.9094mm","35.2960mm","20.9094mm"
"R15","3.3K","TopLayer","64.7446mm","6.8780mm","0","64.7446mm","6.8780mm","63.9826mm","6.8780mm"
"R14","3.3K","TopLayer","64.7446mm","9.5268mm","0","64.7446mm","9.5268mm","63.9826mm","9.5268mm"
"R13","3.3K","TopLayer","64.7446mm","11.0280mm","0","64.7446mm","11.0280mm","63.9826mm","11.0280mm"
"R12","3.3K","TopLayer","64.7446mm","15.1272mm","0","64.7446mm","15.1272mm","63.9826mm","15.1272mm"
"R11","3.3K","TopLayer","64.7446mm","16.6280mm","0","64.7446mm","16.6280mm","63.9826mm","16.6280mm"
"R10","10K","TopLayer","26.2536mm","3.6120mm","0","26.2536mm","3.6120mm","25.4916mm","3.6120mm"
"R9","10K","TopLayer","58.8264mm","3.6120mm","180","58.8264mm","3.6120mm","59.5884mm","3.6120mm"
"R8","1M","TopLayer","18.1991mm","4.1618mm","180","18.1991mm","4.1618mm","18.6690mm","4.1618mm"
"R7","5.1k","TopLayer","13.7844mm","8.3522mm","270","13.7844mm","8.3522mm","13.7844mm","8.6272mm"
"R6","5.1k","TopLayer","10.4344mm","8.3522mm","270","10.4344mm","8.3522mm","10.4344mm","8.6272mm"
"R5","0R","TopLayer","12.7000mm","8.5598mm","90","12.7000mm","8.5598mm","12.7000mm","8.0899mm"
"R4","0R","TopLayer","11.5500mm","8.5598mm","90","11.5500mm","8.5598mm","11.5500mm","8.0899mm"
"R3","10K","TopLayer","15.7226mm","34.5492mm","0","15.7226mm","34.5492mm","14.9606mm","34.5492mm"
"R2","33.2K","TopLayer","15.7226mm","33.1522mm","180","15.7226mm","33.1522mm","16.4846mm","33.1522mm"
"R1","10K","TopLayer","17.8410mm","33.9142mm","270","17.8410mm","33.9142mm","17.8410mm","34.6762mm"
"Q1","FDN335N","TopLayer","41.3512mm","41.7592mm","0","41.3512mm","41.7592mm","40.4012mm","40.7592mm"
"LED2","","TopLayer","83.3374mm","51.1048mm","180","83.3374mm","51.1048mm","84.0874mm","51.1048mm"
"LED1","RED","TopLayer","1.6630mm","51.1048mm","0","1.6630mm","51.1048mm","0.9130mm","51.1048mm"
"L3","47nH","TopLayer","63.2968mm","61.4669mm","90","63.2968mm","61.4669mm","63.2968mm","61.0349mm"
"L2","47uH","TopLayer","23.0886mm","17.0156mm","90","23.0886mm","17.0156mm","23.0886mm","13.9906mm"
"L1","3.3uH","TopLayer","20.3621mm","43.1598mm","0","20.3621mm","43.1598mm","18.3121mm","43.1598mm"
"J8","FH19C-6S-0.5SH(10)","TopLayer","63.0300mm","27.3581mm","90","63.0300mm","27.3581mm","61.7800mm","26.1081mm"
"J7","FH12-40S-0.5SH(55)","TopLayer","47.0408mm","35.5092mm","90","47.0408mm","35.5092mm","45.4158mm","25.7592mm"
"J6","20579-001E","TopLayer","59.9140mm","63.1259mm","180","59.9138mm","64.4259mm","61.2140mm","63.1259mm"
"J5","2P THrough Hole Pads","TopLayer","17.3386mm","63.4828mm","0","17.3386mm","63.4828mm","16.0686mm","63.4828mm"
"J4","GT-TF003-H0185-02","TopLayer","75.3482mm","14.2780mm","90","75.3482mm","14.2780mm","69.8482mm","16.5280mm"
"J3","C37208","TopLayer","30.6578mm","7.8284mm","270","30.6578mm","14.1784mm","30.6578mm","14.1784mm"
"J2","TYPE-C-31-M-12","TopLayer","12.0344mm","3.5560mm","0","12.0344mm","3.5560mm","10.2844mm","5.9310mm"
"J1","DC-0360-2.5","TopLayer","7.1886mm","27.4626mm","0","8.0386mm","27.4626mm","8.0386mm","27.4626mm"
"F1","","TopLayer","3.1496mm","7.1628mm","180","3.1496mm","7.1628mm","4.6776mm","7.1628mm"
"D9","ESD9X5VU","TopLayer","67.4440mm","7.3030mm","90","67.4440mm","7.3030mm","67.4440mm","6.8780mm"
"D8","ESD9X5VU","TopLayer","67.4440mm","9.1018mm","270","67.4440mm","9.1018mm","67.4440mm","9.5268mm"
"D7","ESD9X5VU","TopLayer","67.4440mm","11.4530mm","90","67.4440mm","11.4530mm","67.4440mm","11.0280mm"
"D6","ESD9X5VU","TopLayer","67.4440mm","14.7022mm","270","67.4440mm","14.7022mm","67.4440mm","15.1272mm"
"D5","ESD9X5VU","TopLayer","67.4440mm","17.0530mm","90","67.4440mm","17.0530mm","67.4440mm","16.6280mm"
"D4","SS36","TopLayer","23.0886mm","25.4188mm","270","23.0886mm","25.4188mm","23.0886mm","27.4188mm"
"D3","","TopLayer","26.0350mm","41.8942mm","90","26.0350mm","41.8942mm","26.0350mm","39.5942mm"
"D2","SS36","TopLayer","17.4244mm","17.1196mm","90","17.4244mm","17.1196mm","17.4244mm","15.1196mm"
"D1","","TopLayer","7.7094mm","7.7946mm","270","7.7094mm","7.7946mm","7.7094mm","7.9946mm"
"C32","4.7nF","TopLayer","71.3181mm","3.8354mm","0","71.3181mm","3.8354mm","70.5561mm","3.8354mm"
"C31","0.1uF","TopLayer","63.2206mm","13.7494mm","0","63.2206mm","13.7494mm","62.4586mm","13.7494mm"
"C30","1uF","TopLayer","63.2206mm","12.4540mm","0","63.2206mm","12.4540mm","62.4586mm","12.4540mm"
"C29","0.1uF","TopLayer","37.6183mm","57.5788mm","0","37.6183mm","57.5788mm","36.8563mm","57.5788mm"
"C28","0.1uF","TopLayer","47.2977mm","57.5738mm","0","47.2977mm","57.5738mm","46.5357mm","57.5738mm"
"C27","1uF","TopLayer","42.7192mm","36.4744mm","0","42.7192mm","36.4744mm","41.9572mm","36.4744mm"
"C26","0.1uF","TopLayer","42.7192mm","35.2009mm","0","42.7192mm","35.2009mm","41.9572mm","35.2009mm"
